,gen-vanilla_SSRT-vanilla,gen-vanilla_SSRT-w_guesses,gen-vanilla_SSRT-w_graded,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded
CR7WRBTX,306.1333333333333,212.9089317879469,713.7333333333332,366.06666666666666,291.99318800465437,804.6333333333334,218.10000000000002,98.10300734539794,359.18333333333334
CRCB0WAL,313.35,200.58318357233819,838.9499999999999,385.9666666666666,292.7521776704238,990.6999999999998,218.84999999999997,79.50994365302444,378.44999999999993
CRKZ5CYD,291.8,253.4341564476901,467.08333333333337,320.1666666666667,289.4561334785478,504.45,215.61666666666667,155.79847300446107,312.1833333333333
CRM6V6NX,302.09999999999997,223.44617735818693,630.8833333333333,353.0166666666666,290.78093726018676,706.7833333333334,218.63333333333333,113.33377392178262,343.5166666666667
CRU3H91G,290.15000000000003,255.16657809938033,434.01666666666665,315.5,288.56760395141566,452.28333333333336,217.28333333333333,162.40549489770643,307.0333333333334
CT178KT0,286.5,263.5535993678476,407.95,304.43333333333334,286.020193942001,425.8666666666667,219.55000000000004,183.6498981742284,299.13333333333344
CT4DY62X,279.6333333333333,276.436927425172,357.1666666666667,285.70000000000005,280.4481869969563,360.9333333333333,243.01666666666662,228.04888341773508,288.4
CT6N4C6Y,325.6166666666667,164.86072472838475,1110.4833333333331,426.73333333333335,294.0029542712122,1341.7666666666667,221.5,33.49175627715224,425.8
CTDL9XAC,283.43333333333334,261.4687385304551,397.45000000000005,299.55000000000007,282.41668287929474,412.3166666666667,233.35000000000002,201.7476819847195,296.84999999999997
CTFL718M,296.6833333333334,239.68606282426254,525.0833333333334,335.9,291.3728768163834,571.9166666666666,215.7,130.74916952791293,325.43333333333334
CTG43,298.2333333333333,231.79898512330587,503.9,341.98333333333335,292.9589129075386,528.2666666666667,215.83333333333331,112.60535284336807,326.50000000000006
CTHR2CNF,297.9333333333334,233.9003368709612,576.1,340.81666666666666,290.4886386235573,631.1833333333333,217.29999999999998,128.3142578373586,333.91666666666663
CTUNLN80,275.75,265.9144238516996,327.94999999999993,285.6,278.07019394200097,333.4666666666666,259.56666666666666,244.67081055743043,285.3999999999999
CTWB1W45,312.25000000000006,189.25056389420502,786.25,387.9,294.21258985439914,856.6166666666667,219.40000000000003,61.42372277444033,379.3833333333333
CTY8WJMJ,287.38333333333327,261.40887190196804,417.25,306.79999999999995,286.32723228004164,431.8666666666667,217.86666666666667,178.26646592116433,301.4166666666667
CU04NHFZ,288.2,257.421999730778,419.3499999999999,310.34999999999997,286.560565613375,438.8666666666667,219.81666666666663,170.50433207064634,302.93333333333334
CU4L4APH,288.8333333333333,254.6665647888123,463.90000000000003,313.23333333333335,285.2614505894282,510.7166666666667,224.55,176.34840970925762,307.81666666666666
CU8GZZV0,286.61666666666656,265.27664717826315,406.7166666666666,304.1166666666666,286.3964889372937,429.34999999999997,218.14999999999995,182.95069210001083,298.6
CUDZ40WZ,314.79999999999995,187.39522441903523,874.9333333333333,394.96666666666664,293.81071161408977,1006.1499999999999,219.58333333333334,59.75527781001793,389.8333333333333
CUJ4YKJ3,287.5833333333333,262.9518202055856,428.79999999999995,307.0,286.6096445412541,453.1833333333333,217.36666666666665,179.8780996990511,302.6666666666667
CUNJD89E,317.4166666666667,190.25334635189915,897.55,398.54999999999995,293.7276887233052,1070.85,219.35000000000005,62.19009732665031,389.35
CURLTGW2,281.98333333333335,267.82541679840494,378.5833333333333,293.15,281.78686060866767,386.7666666666667,227.78333333333333,207.60278444764808,291.66666666666663
CURU4G26,282.5333333333333,266.8057734858162,376.9000000000001,295.21666666666664,282.4298222706271,392.9833333333333,229.78333333333333,204.66967829935822,292.00000000000006
CUTYZFH7,291.3,253.03235537307887,461.38333333333327,318.8666666666667,288.3228606037553,497.8833333333334,217.46666666666664,158.55519708797766,310.6833333333334
